1943.53.61, 51211, 1, C:\media\DRSRetrieve\top500\51211.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386515?width=1024&height=1024, OK
1943.53.80.A, 51124, 1, C:\media\DRSRetrieve\top500\51124.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386433?width=1024&height=1024, OK
1943.56.22.6, CARP14586, 1, C:\media\DRSRetrieve\top500\CARP14586.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18728178?width=1024&height=1024, OK
1943.56.24, 50862, 1, C:\media\DRSRetrieve\top500\50862.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183423?width=1024&height=1024, OK
1943.57.12, DDC105027, 1, C:\media\DRSRetrieve\top500\DDC105027.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8355342?width=1024&height=1024, OK
1943.57.14, DDC109356, 1, C:\media\DRSRetrieve\top500\DDC109356.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/14755100?width=1024&height=1024, OK
1943.647, 30516, 1, C:\media\DRSRetrieve\top500\30516.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17357788?width=1024&height=1024, OK
1943.656, 30520, 1, C:\media\DRSRetrieve\top500\30520.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17357792?width=1024&height=1024, OK
1943.679, 30607, 1, C:\media\DRSRetrieve\top500\30607.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17357851?width=1024&height=1024, OK
1943.706, 80163, 1, C:\media\DRSRetrieve\top500\80163.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20684504?width=1024&height=1024, OK
1943.760, 47758, 1, C:\media\DRSRetrieve\top500\47758.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20681869?width=1024&height=1024, OK
1943.810, 51484, 1, C:\media\DRSRetrieve\top500\51484.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386748?width=1024&height=1024, OK
1943.844, 50908, 1, C:\media\DRSRetrieve\top500\50908.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386285?width=1024&height=1024, OK
1943.863, DDC104946, 1, C:\media\DRSRetrieve\top500\DDC104946.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8114889?width=1024&height=1024, OK
1943.890, 47654, 1, C:\media\DRSRetrieve\top500\47654.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182961?width=1024&height=1024, OK
1943.923, 51284, 1, C:\media\DRSRetrieve\top500\51284.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386582?width=1024&height=1024, OK
